T1,Q1,AT1,I1,V1
292.150000699784,3.56539743506801e-07,0,0.0453793083910163,-4.10000047919302
292.150000698268,3.55767497239867e-07,0,0.0453745632404416,-4.10000047867381
292.150000696756,3.549969562755e-07,0,0.0453698232314697,-4.10000047815516
292.150000695246,3.54228063770279e-07,0,0.045365088358043,-4.10000047763707
292.150000693741,3.53460848145914e-07,0,0.0453603586153033,-4.10000047711955
292.150000692238,3.52695309402407e-07,0,0.0453556339969623,-4.10000047660258
292.150000690739,3.51931419118046e-07,0,0.0453509144980817,-4.10000047608618
292.150000689243,3.51169177292832e-07,0,0.0453462001125509,-4.10000047557033
292.15000068775,3.50408583926765e-07,0,0.0453414908353604,-4.10000047505505
292.15000068626,3.49649639019844e-07,0,0.0453367866604975,-4.10000047454032
292.150000684774,3.48892342572071e-07,0,0.0453320875829704,-4.10000047402615
292.150000683291,3.48136666161736e-07,0,0.0453273935965175,-4.10000047351253
292.150000681811,3.47382666632257e-07,0,0.0453227046966713,-4.10000047299948
292.150000680334,3.46630258718506e-07,0,0.0453180208765929,-4.10000047248698
292.150000678861,3.45879527685611e-07,0,0.0453133421322409,-4.10000047197504
292.15000067739,3.45130416690154e-07,0,0.0453086684566255,-4.10000047146364
292.150000675923,3.44382897310425e-07,0,0.0453039998455367,-4.10000047095281
292.150000674459,3.43637026389843e-07,0,0.0452993362926861,-4.10000047044252
292.150000672998,3.42892718663279e-07,0,0.0452946777930379,-4.10000046993279
292.150000671541,3.42150059395863e-07,0,0.0452900243406322,-4.10000046942362
292.150000670086,3.41409020165884e-07,0,0.0452853759306198,-4.10000046891499
292.150000668635,3.40669544129923e-07,0,0.0452807325570674,-4.10000046840691
292.150000667187,3.39931688131401e-07,0,0.0452760942146195,-4.10000046789939
292.150000665742,3.39195423748606e-07,0,0.0452714608981157,-4.10000046739242
292.1500006643,3.38460807824958e-07,0,0.0452668326015431,-4.10000046688599
292.150000662861,3.3772772667362e-07,0,0.0452622093201676,-4.10000046638011
292.150000661425,3.3699623713801e-07,0,0.0452575910478252,-4.10000046587478
292.150000659993,3.36266339218128e-07,0,0.0452529777797022,-4.10000046537
292.150000658563,3.35538061335683e-07,0,0.045248369509812,-4.10000046486577
292.150000657137,3.34811289803838e-07,0,0.0452437662335363,-4.10000046436208
292.150000655714,3.34086138309431e-07,0,0.0452391679443025,-4.10000046385893
292.150000654293,3.33362550009042e-07,0,0.0452345746381759,-4.10000046335634
292.150000652876,3.32640524902672e-07,0,0.0452299863081844,-4.10000046285429
292.150000651462,3.3192009141203e-07,0,0.0452254029502157,-4.10000046235278
292.150000650051,3.31201192693698e-07,0,0.045220824558168,-4.10000046185181
292.150000648643,3.30483828747674e-07,0,0.0452162511268455,-4.10000046135139
292.150000647239,3.29768056417379e-07,0,0.0452116826510789,-4.10000046085151
292.150000645837,3.29053818859393e-07,0,0.0452071191251928,-4.10000046035217
292.150000644438,3.28341144495425e-07,0,0.0452025605440181,-4.10000045985337
292.150000643042,3.27629976482058e-07,0,0.0451980069018791,-4.10000045935511
292.150000641649,3.26920371662709e-07,0,0.0451934581941398,-4.1000004588574
292.15000064026,3.26212301615669e-07,0,0.0451889144144673,-4.10000045836022
292.150000638873,3.25505766340939e-07,0,0.0451843755586516,-4.10000045786358
292.150000637489,3.24800737416808e-07,0,0.0451798416200315,-4.10000045736748
292.150000636108,3.24097243264987e-07,0,0.0451753125947434,-4.10000045687192
292.150000634731,3.23395312307184e-07,0,0.0451707884759749,-4.10000045637689
292.150000633356,3.22694887699981e-07,0,0.0451662692598713,-4.1000004558824
292.150000631984,3.21995969443378e-07,0,0.0451617549397181,-4.10000045538844
292.150000630615,3.21298585959084e-07,0,0.0451572455115894,-4.10000045489502
292.15000062925,3.20602680403681e-07,0,0.0451527409688683,-4.10000045440214
292.150000627887,3.19908309620587e-07,0,0.0451482413072917,-4.10000045390979
292.150000626527,3.19215416766383e-07,0,0.045143746521024,-4.10000045341797
292.15000062517,3.18524058684488e-07,0,0.0451392566047986,-4.10000045292668
292.150000623816,3.17834150109775e-07,0,0.0451347715538013,-4.10000045243593
292.150000622465,3.17145747885661e-07,0,0.0451302913620282,-4.10000045194571
292.150000621116,3.16458852012147e-07,0,0.0451258160249139,-4.10000045145602
292.150000619771,3.15773434067523e-07,0,0.0451213455368187,-4.10000045096686
